name,type,zone,value
uztwm,sac,SAKW1-1,-99
uzfwm,sac,SAKW1-1,-99
lztwm,sac,SAKW1-1,-99
lzfpm,sac,SAKW1-1,-99
lzfsm,sac,SAKW1-1,-99
adimp,sac,SAKW1-1,-99
uzk,sac,SAKW1-1,-99
lzpk,sac,SAKW1-1,-99
lzsk,sac,SAKW1-1,-99
zperc,sac,SAKW1-1,-99
rexp,sac,SAKW1-1,-99
pctim,sac,SAKW1-1,-99
pfree,sac,SAKW1-1,-99
riva,sac,SAKW1-1,-99
side,sac,SAKW1-1,0
rserv,sac,SAKW1-1,0.3
peadj,sac,SAKW1-1,1
pxadj,sac,SAKW1-1,1
peadj_10,sac,SAKW1-1,0.6889
peadj_11,sac,SAKW1-1,0.3752
peadj_12,sac,SAKW1-1,0.2968
peadj_01,sac,SAKW1-1,0.2812
peadj_02,sac,SAKW1-1,0.2763
peadj_03,sac,SAKW1-1,0.2977
peadj_04,sac,SAKW1-1,0.3411
peadj_05,sac,SAKW1-1,0.4471
peadj_06,sac,SAKW1-1,0.5935
peadj_07,sac,SAKW1-1,0.7806
peadj_08,sac,SAKW1-1,0.8685
peadj_09,sac,SAKW1-1,0.8731
efc,sac,SAKW1-1,0.558042869418
uztwm,sac,SAKW1-2,-99
uzfwm,sac,SAKW1-2,-99
lztwm,sac,SAKW1-2,-99
lzfpm,sac,SAKW1-2,-99
lzfsm,sac,SAKW1-2,-99
adimp,sac,SAKW1-2,-99
uzk,sac,SAKW1-2,-99
lzpk,sac,SAKW1-2,-99
lzsk,sac,SAKW1-2,-99
zperc,sac,SAKW1-2,-99
rexp,sac,SAKW1-2,-99
pctim,sac,SAKW1-2,-99
pfree,sac,SAKW1-2,-99
riva,sac,SAKW1-2,-99
side,sac,SAKW1-2,0
rserv,sac,SAKW1-2,0.3
peadj,sac,SAKW1-2,1
pxadj,sac,SAKW1-2,1
peadj_10,sac,SAKW1-2,0.7076
peadj_11,sac,SAKW1-2,0.303
peadj_12,sac,SAKW1-2,0.2785
peadj_01,sac,SAKW1-2,0.2863
peadj_02,sac,SAKW1-2,0.2534
peadj_03,sac,SAKW1-2,0.284
peadj_04,sac,SAKW1-2,0.5336
peadj_05,sac,SAKW1-2,0.6535
peadj_06,sac,SAKW1-2,0.7797
peadj_07,sac,SAKW1-2,0.8667
peadj_08,sac,SAKW1-2,0.8364
peadj_09,sac,SAKW1-2,0.8001
efc,sac,SAKW1-2,0.327713590935
scf,snow,SAKW1-1,-99
mfmax,snow,SAKW1-1,-99
mfmin,snow,SAKW1-1,-99
uadj,snow,SAKW1-1,-99
si,snow,SAKW1-1,-99
nmf,snow,SAKW1-1,0.15
tipm,snow,SAKW1-1,0.12
mbase,snow,SAKW1-1,0
plwhc,snow,SAKW1-1,0.04
daygm,snow,SAKW1-1,0
adc_a,snow,SAKW1-1,-99
adc_b,snow,SAKW1-1,-99
adc_c,snow,SAKW1-1,-99
init_swe,snow,SAKW1-1,0
alat,snow,SAKW1-1,48.26
elev,snow,SAKW1-1,762.08
scf,snow,SAKW1-2,-99
mfmax,snow,SAKW1-2,-99
mfmin,snow,SAKW1-2,-99
uadj,snow,SAKW1-2,-99
si,snow,SAKW1-2,-99
nmf,snow,SAKW1-2,0.15
tipm,snow,SAKW1-2,0.12
mbase,snow,SAKW1-2,0
plwhc,snow,SAKW1-2,0.04
daygm,snow,SAKW1-2,0
adc_a,snow,SAKW1-2,-99
adc_b,snow,SAKW1-2,-99
adc_c,snow,SAKW1-2,-99
init_swe,snow,SAKW1-2,0
alat,snow,SAKW1-2,48.116
elev,snow,SAKW1-2,1598.68
zone_area,uh,SAKW1-1,799.186
unit_shape,uh,SAKW1-1,-99
unit_toc,uh,SAKW1-1,56.01351997
unit_toc_adj,uh,SAKW1-1,-99
zone_area,uh,SAKW1-2,659.912
unit_shape,uh,SAKW1-2,-99
unit_toc,uh,SAKW1-2,49.53364583
unit_toc_adj,uh,SAKW1-2,-99
n_clmods,chanloss,SAKW1,0
lagtbl_a,lagk,WCHW1,-99
lagtbl_b,lagk,WCHW1,-99
lagtbl_c,lagk,WCHW1,-99
lagtbl_d,lagk,WCHW1,0
ktbl_a,lagk,WCHW1,-99
ktbl_b,lagk,WCHW1,-99
ktbl_c,lagk,WCHW1,-99
ktbl_d,lagk,WCHW1,-99
lagk_lagmax,lagk,WCHW1,25.72884354
lagk_kmax,lagk,WCHW1,25.72884354
lagk_qmax,lagk,WCHW1,12949.7307834687
lagk_lagmin,lagk,WCHW1,3.67554907714286
lagk_kmin,lagk,WCHW1,0
lagk_qmin,lagk,WCHW1,436.208135678143
init_co,lagk,WCHW1,-99
init_if,lagk,WCHW1,-99
init_of,lagk,WCHW1,-99
init_stor,lagk,WCHW1,-99
map_scale,fa,SAKW1,-99
map_p_redist,fa,SAKW1,-99
map_std,fa,SAKW1,-99
map_shift,fa,SAKW1,-99
mat_scale,fa,SAKW1,-99
mat_p_redist,fa,SAKW1,-99
mat_std,fa,SAKW1,-99
mat_shift,fa,SAKW1,-99
pet_scale,fa,SAKW1,-99
pet_p_redist,fa,SAKW1,-99
pet_std,fa,SAKW1,-99
pet_shift,fa,SAKW1,-99
ptps_scale,fa,SAKW1,-99
ptps_p_redist,fa,SAKW1,-99
ptps_std,fa,SAKW1,-99
ptps_shift,fa,SAKW1,-99
map_lower_01,fa_limit,SAKW1-1,245.531219811429
map_upper_01,fa_limit,SAKW1-1,414.1493114
map_lower_02,fa_limit,SAKW1-1,154.821139611429
map_upper_02,fa_limit,SAKW1-1,296.637738222222
map_lower_03,fa_limit,SAKW1-1,164.216860868571
map_upper_03,fa_limit,SAKW1-1,300.866775427778
map_lower_04,fa_limit,SAKW1-1,122.975226308571
map_upper_04,fa_limit,SAKW1-1,203.323105333333
map_lower_05,fa_limit,SAKW1-1,76.8993222342857
map_upper_05,fa_limit,SAKW1-1,145.352717022857
map_lower_06,fa_limit,SAKW1-1,58.88516544
map_upper_06,fa_limit,SAKW1-1,123.422762697143
map_lower_07,fa_limit,SAKW1-1,30.12248484
map_upper_07,fa_limit,SAKW1-1,69.1702517314286
map_lower_08,fa_limit,SAKW1-1,33.6866135657143
map_upper_08,fa_limit,SAKW1-1,66.9854634742857
map_lower_09,fa_limit,SAKW1-1,76.2332014285714
map_upper_09,fa_limit,SAKW1-1,139.486414222222
map_lower_10,fa_limit,SAKW1-1,196.765235845714
map_upper_10,fa_limit,SAKW1-1,290.8681
map_lower_11,fa_limit,SAKW1-1,311.084978241177
map_upper_11,fa_limit,SAKW1-1,498.820850754286
map_lower_12,fa_limit,SAKW1-1,237.639193623529
map_upper_12,fa_limit,SAKW1-1,401.70735
mat_lower_01,fa_limit,SAKW1-1,-2.89414285714286
mat_upper_01,fa_limit,SAKW1-1,-0.651081081081081
mat_lower_02,fa_limit,SAKW1-1,-2.268
mat_upper_02,fa_limit,SAKW1-1,0.0312162162162167
mat_lower_03,fa_limit,SAKW1-1,-0.457714285714285
mat_upper_03,fa_limit,SAKW1-1,2.00527027027027
mat_lower_04,fa_limit,SAKW1-1,1.44385714285714
mat_upper_04,fa_limit,SAKW1-1,4.99905405405406
mat_lower_05,fa_limit,SAKW1-1,4.72114285714286
mat_upper_05,fa_limit,SAKW1-1,8.94864864864865
mat_lower_06,fa_limit,SAKW1-1,8.22857142857143
mat_upper_06,fa_limit,SAKW1-1,11.9201351351351
mat_lower_07,fa_limit,SAKW1-1,12.0201428571429
mat_upper_07,fa_limit,SAKW1-1,15.9990540540541
mat_lower_08,fa_limit,SAKW1-1,12.6977142857143
mat_upper_08,fa_limit,SAKW1-1,16.3706756756757
mat_lower_09,fa_limit,SAKW1-1,9.73074537037045
mat_upper_09,fa_limit,SAKW1-1,13.0572972972973
mat_lower_10,fa_limit,SAKW1-1,4.401
mat_upper_10,fa_limit,SAKW1-1,7.00581081081081
mat_lower_11,fa_limit,SAKW1-1,-1.34602941176471
mat_upper_11,fa_limit,SAKW1-1,1.13208333333333
mat_lower_12,fa_limit,SAKW1-1,-3.97058823529412
mat_upper_12,fa_limit,SAKW1-1,-1.47125
pet_lower_01,fa_limit,SAKW1-1,0.998095569845
pet_upper_01,fa_limit,SAKW1-1,9.86205848397297
pet_lower_02,fa_limit,SAKW1-1,4.276343620651
pet_upper_02,fa_limit,SAKW1-1,16.6385583710054
pet_lower_03,fa_limit,SAKW1-1,15.1171935654
pet_upper_03,fa_limit,SAKW1-1,34.5502073501676
pet_lower_04,fa_limit,SAKW1-1,42.1398867005
pet_upper_04,fa_limit,SAKW1-1,60.2133945487027
pet_lower_05,fa_limit,SAKW1-1,77.3017471941081
pet_upper_05,fa_limit,SAKW1-1,98.7413621999445
pet_lower_06,fa_limit,SAKW1-1,90.6913985755135
pet_upper_06,fa_limit,SAKW1-1,117.295261309722
pet_lower_07,fa_limit,SAKW1-1,107.826603250865
pet_upper_07,fa_limit,SAKW1-1,141.236636048444
pet_lower_08,fa_limit,SAKW1-1,87.001488557
pet_upper_08,fa_limit,SAKW1-1,129.043539953778
pet_lower_09,fa_limit,SAKW1-1,47.370456059
pet_upper_09,fa_limit,SAKW1-1,81.4924319122222
pet_lower_10,fa_limit,SAKW1-1,17.53624607425
pet_upper_10,fa_limit,SAKW1-1,42.4280824171111
pet_lower_11,fa_limit,SAKW1-1,2.45139148996457
pet_upper_11,fa_limit,SAKW1-1,11.9494358250667
pet_lower_12,fa_limit,SAKW1-1,0
pet_upper_12,fa_limit,SAKW1-1,8.34935369326667
ptps_lower_01,fa_limit,SAKW1-1,0.64874925
ptps_upper_01,fa_limit,SAKW1-1,0.808651181968111
ptps_lower_02,fa_limit,SAKW1-1,0.643960267505897
ptps_upper_02,fa_limit,SAKW1-1,0.79250325
ptps_lower_03,fa_limit,SAKW1-1,0.535907258064514
ptps_upper_03,fa_limit,SAKW1-1,0.718976923076923
ptps_lower_04,fa_limit,SAKW1-1,0.357783611111113
ptps_upper_04,fa_limit,SAKW1-1,0.534625384615385
ptps_lower_05,fa_limit,SAKW1-1,0.139386021505374
ptps_upper_05,fa_limit,SAKW1-1,0.196228717948718
ptps_lower_06,fa_limit,SAKW1-1,0.0219461538461538
ptps_upper_06,fa_limit,SAKW1-1,0.0459480864197526
ptps_lower_07,fa_limit,SAKW1-1,0.00116076923076923
ptps_upper_07,fa_limit,SAKW1-1,0.00528643966547192
ptps_lower_08,fa_limit,SAKW1-1,0.000350769230769231
ptps_upper_08,fa_limit,SAKW1-1,0.00453306451612903
ptps_lower_09,fa_limit,SAKW1-1,0.0153461538461538
ptps_upper_09,fa_limit,SAKW1-1,0.037457206790123
ptps_lower_10,fa_limit,SAKW1-1,0.188844391495599
ptps_upper_10,fa_limit,SAKW1-1,0.241531794871795
ptps_lower_11,fa_limit,SAKW1-1,0.498401988636365
ptps_upper_11,fa_limit,SAKW1-1,0.653027692307693
ptps_lower_12,fa_limit,SAKW1-1,0.698940340909091
ptps_upper_12,fa_limit,SAKW1-1,0.866898717948718
map_lower_01,fa_limit,SAKW1-2,245.531219811429
map_upper_01,fa_limit,SAKW1-2,414.1493114
map_lower_02,fa_limit,SAKW1-2,154.821139611429
map_upper_02,fa_limit,SAKW1-2,296.637738222222
map_lower_03,fa_limit,SAKW1-2,164.216860868571
map_upper_03,fa_limit,SAKW1-2,300.866775427778
map_lower_04,fa_limit,SAKW1-2,122.975226308571
map_upper_04,fa_limit,SAKW1-2,203.323105333333
map_lower_05,fa_limit,SAKW1-2,76.8993222342857
map_upper_05,fa_limit,SAKW1-2,145.352717022857
map_lower_06,fa_limit,SAKW1-2,58.88516544
map_upper_06,fa_limit,SAKW1-2,123.422762697143
map_lower_07,fa_limit,SAKW1-2,30.12248484
map_upper_07,fa_limit,SAKW1-2,69.1702517314286
map_lower_08,fa_limit,SAKW1-2,33.6866135657143
map_upper_08,fa_limit,SAKW1-2,66.9854634742857
map_lower_09,fa_limit,SAKW1-2,76.2332014285714
map_upper_09,fa_limit,SAKW1-2,139.486414222222
map_lower_10,fa_limit,SAKW1-2,196.765235845714
map_upper_10,fa_limit,SAKW1-2,290.8681
map_lower_11,fa_limit,SAKW1-2,311.084978241177
map_upper_11,fa_limit,SAKW1-2,498.820850754286
map_lower_12,fa_limit,SAKW1-2,237.639193623529
map_upper_12,fa_limit,SAKW1-2,401.70735
mat_lower_01,fa_limit,SAKW1-2,-2.89414285714286
mat_upper_01,fa_limit,SAKW1-2,-0.651081081081081
mat_lower_02,fa_limit,SAKW1-2,-2.268
mat_upper_02,fa_limit,SAKW1-2,0.0312162162162167
mat_lower_03,fa_limit,SAKW1-2,-0.457714285714285
mat_upper_03,fa_limit,SAKW1-2,2.00527027027027
mat_lower_04,fa_limit,SAKW1-2,1.44385714285714
mat_upper_04,fa_limit,SAKW1-2,4.99905405405406
mat_lower_05,fa_limit,SAKW1-2,4.72114285714286
mat_upper_05,fa_limit,SAKW1-2,8.94864864864865
mat_lower_06,fa_limit,SAKW1-2,8.22857142857143
mat_upper_06,fa_limit,SAKW1-2,11.9201351351351
mat_lower_07,fa_limit,SAKW1-2,12.0201428571429
mat_upper_07,fa_limit,SAKW1-2,15.9990540540541
mat_lower_08,fa_limit,SAKW1-2,12.6977142857143
mat_upper_08,fa_limit,SAKW1-2,16.3706756756757
mat_lower_09,fa_limit,SAKW1-2,9.73074537037045
mat_upper_09,fa_limit,SAKW1-2,13.0572972972973
mat_lower_10,fa_limit,SAKW1-2,4.401
mat_upper_10,fa_limit,SAKW1-2,7.00581081081081
mat_lower_11,fa_limit,SAKW1-2,-1.34602941176471
mat_upper_11,fa_limit,SAKW1-2,1.13208333333333
mat_lower_12,fa_limit,SAKW1-2,-3.97058823529412
mat_upper_12,fa_limit,SAKW1-2,-1.47125
pet_lower_01,fa_limit,SAKW1-2,0.998095569845
pet_upper_01,fa_limit,SAKW1-2,9.86205848397297
pet_lower_02,fa_limit,SAKW1-2,4.276343620651
pet_upper_02,fa_limit,SAKW1-2,16.6385583710054
pet_lower_03,fa_limit,SAKW1-2,15.1171935654
pet_upper_03,fa_limit,SAKW1-2,34.5502073501676
pet_lower_04,fa_limit,SAKW1-2,42.1398867005
pet_upper_04,fa_limit,SAKW1-2,60.2133945487027
pet_lower_05,fa_limit,SAKW1-2,77.3017471941081
pet_upper_05,fa_limit,SAKW1-2,98.7413621999445
pet_lower_06,fa_limit,SAKW1-2,90.6913985755135
pet_upper_06,fa_limit,SAKW1-2,117.295261309722
pet_lower_07,fa_limit,SAKW1-2,107.826603250865
pet_upper_07,fa_limit,SAKW1-2,141.236636048444
pet_lower_08,fa_limit,SAKW1-2,87.001488557
pet_upper_08,fa_limit,SAKW1-2,129.043539953778
pet_lower_09,fa_limit,SAKW1-2,47.370456059
pet_upper_09,fa_limit,SAKW1-2,81.4924319122222
pet_lower_10,fa_limit,SAKW1-2,17.53624607425
pet_upper_10,fa_limit,SAKW1-2,42.4280824171111
pet_lower_11,fa_limit,SAKW1-2,2.45139148996457
pet_upper_11,fa_limit,SAKW1-2,11.9494358250667
pet_lower_12,fa_limit,SAKW1-2,0
pet_upper_12,fa_limit,SAKW1-2,8.34935369326667
ptps_lower_01,fa_limit,SAKW1-2,0.64874925
ptps_upper_01,fa_limit,SAKW1-2,0.808651181968111
ptps_lower_02,fa_limit,SAKW1-2,0.643960267505897
ptps_upper_02,fa_limit,SAKW1-2,0.79250325
ptps_lower_03,fa_limit,SAKW1-2,0.535907258064514
ptps_upper_03,fa_limit,SAKW1-2,0.718976923076923
ptps_lower_04,fa_limit,SAKW1-2,0.357783611111113
ptps_upper_04,fa_limit,SAKW1-2,0.534625384615385
ptps_lower_05,fa_limit,SAKW1-2,0.139386021505374
ptps_upper_05,fa_limit,SAKW1-2,0.196228717948718
ptps_lower_06,fa_limit,SAKW1-2,0.0219461538461538
ptps_upper_06,fa_limit,SAKW1-2,0.0459480864197526
ptps_lower_07,fa_limit,SAKW1-2,0.00116076923076923
ptps_upper_07,fa_limit,SAKW1-2,0.00528643966547192
ptps_lower_08,fa_limit,SAKW1-2,0.000350769230769231
ptps_upper_08,fa_limit,SAKW1-2,0.00453306451612903
ptps_lower_09,fa_limit,SAKW1-2,0.0153461538461538
ptps_upper_09,fa_limit,SAKW1-2,0.037457206790123
ptps_lower_10,fa_limit,SAKW1-2,0.188844391495599
ptps_upper_10,fa_limit,SAKW1-2,0.241531794871795
ptps_lower_11,fa_limit,SAKW1-2,0.498401988636365
ptps_upper_11,fa_limit,SAKW1-2,0.653027692307693
ptps_lower_12,fa_limit,SAKW1-2,0.698940340909091
ptps_upper_12,fa_limit,SAKW1-2,0.866898717948718
pxtemp,snow,SAKW1-1,1.0
talr,snow,SAKW1-1,-0.65
pxtemp,snow,SAKW1-2,1.0
talr,snow,SAKW1-2,-0.65
